Time,Level,Robot name,Process,Hostname,Host Identity,Message
2/23/2022 8:24:59 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Facilities_CarbonHealth_DailyCheckin_07Dec execution started
2/23/2022 8:25:06 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Process Execution Started : 02/23/2022 21:55:06
2/23/2022 8:25:06 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Reading Config file
2/23/2022 8:25:08 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Moving previous day files present in Input to Archive folder
2/23/2022 8:25:08 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Moving previous day files present in Output to Archive folder
2/23/2022 8:25:08 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Moving files present in Downloads folder to Archive folder
2/23/2022 8:25:13 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Logging into Carbon Health portal
2/23/2022 8:25:16 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Audit: Using Web App. Browser: Chrome URL: https://business.carbonhealth.com/
2/23/2022 8:25:35 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Audit: Using Web App. Browser: Chrome URL: https://business.carbonhealth.com/
2/23/2022 8:27:06 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Checking for Employees Carbon Health report
2/23/2022 8:27:06 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Audit: Using Web App. Browser: Chrome URL: https://business.carbonhealth.com/
2/23/2022 8:28:32 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Checking for Employees Carbon Health report
2/23/2022 8:28:32 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Audit: Using Web App. Browser: Chrome URL: https://business.carbonhealth.com/
2/23/2022 8:29:57 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Checking for Employees Carbon Health report
2/23/2022 8:29:57 AM,Error,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,"Move File: Value cannot be null.
Parameter name: path2"
2/23/2022 8:29:57 AM,Error,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,"Invoke DownloadCarbonHealthReport workflow: Value cannot be null.
Parameter name: path2"
2/23/2022 8:29:57 AM,Error,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,"Invoke CarbonHealthReportDownload workflow: Value cannot be null.
Parameter name: path2"
2/23/2022 8:29:57 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Facilities_CarbonHealth_DailyCheckin_07Dec execution ended
2/23/2022 8:33:53 AM,Info,aadvitot@exelixis.com-attended,Facilities_CarbonHealth_DailyCheckin_07Dec,40145A-PRD1-089,EXELIXIS\aadvitot,Facilities_CarbonHealth_DailyCheckin_07Dec execution started
